Informe de campaña
1 de julio de 2026 - 20 de septiembre de 2026
Semana,Estado de la campaña,Campaña,Presupuesto,Nombre de presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Tipo de campaña,Coste,Impr.,CTR,CPC medio,Clics,Conversiones,Coste/conv.,Nivel de optimización
2026-06-29,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"569,18",919,"10,34%","5,99",95,"1,00","569,18","96,71"
2026-07-06,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"899,60",1.247,"11,31%","6,38",141,"6,00","149,93","96,71"
2026-07-13,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"937,36",1.409,"9,01%","7,38",127,"1,00","937,36","96,71"
2026-07-20,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"585,30",1.326,"8,07%","5,47",107,"20,00","29,26","96,71"
2026-07-27,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"781,68",1.963,"10,49%","3,79",206,"56,00","13,96","96,71"
2026-08-03,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"726,34",2.967,"8,46%","2,89",251,"74,00","9,82","96,71"
2026-08-10,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"783,54",3.320,"9,76%","2,42",324,"103,00","7,61","96,71"
2026-08-17,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"513,39",1.958,"8,43%","3,11",165,"34,00","15,10","96,71"
2026-08-24,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"1078,52",3.781,"9,10%","3,14",344,"84,00","12,84","96,71"
2026-08-31,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"934,32",3.356,"8,67%","3,21",291,"41,00","22,79","96,71"
2026-09-07,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"675,85",3.824,"7,35%","2,41",281,"10,00","67,59","96,71"
2026-09-14,Habilitada,VIDEOS CORPORATIVOS,"110,00", --,Diario,PEN,Apto,,Buscar,"166,87",941,"7,55%","2,35",71,"4,00","41,72","96,71"
 --,Total: Campañas, --, --, --, --,PEN, --,, --,"8651,95",27.011,"8,90%","3,60",2.403,"434,00","19,94", --
 --,Total: Campañas, --, --, --, --,PEN, --,, --,0,0, --,0,0,0,0, --
 --,Total: Campañas, --, --, --, --, --, --,, --,0,0, --,0,0,0,0, --
2026-06-29,Total: Campañas, --, --, --, --, --, --,, --,0,0, --,0,0,0,0, --
2026-07-06,Total: Campañas, --, --, --, --, --, --,, --,0,0, --,0,0,0,0, --
2026-07-13,Total: Campañas, --, --, --, --, --, --,, --,0,0, --,0,0,0,0, --
2026-07-20,Total: Campañas, --, --, --, --, --, --,, --,0,0, --,0,0,0,0, --
2026-07-27,Total: Campañas, --, --, --, --, --, --,, --,0,0, --,0,0,0,0, --
