Informe de palabras clave de búsqueda
1 de junio de 2026 - 20 de septiembre de 2026
Semana,Estado de las palabras clave,Palabra clave,Tipo de concordancia,Estado,Motivos del estado,Conversiones,Código de moneda,Coste/conv.,Coste,Impr.,Clics,CTR,CPC medio,Cuota impr. perd. de búsq. (ranking),Cuota impr. perdidas de parte sup. abs. de búsqueda (ranking),Tasa de conv.,Coste/todas las conversiones,Nivel de calidad,Duración media de la interacción por sesión (segundos) (GA4),Cuota de impr. de búsqueda
2026-06-01,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-08,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-15,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-22,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-29,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-06,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-13,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-20,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-27,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-03,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-10,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-17,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-24,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-31,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-07,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-14,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-01,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-08,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-15,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-22,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-29,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-06,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-13,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-20,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-27,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-03,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
