Informe de palabras clave de búsqueda
1 de septiembre de 2026 - 21 de septiembre de 2026
Semana,Estado de las palabras clave,Palabra clave,Tipo de concordancia,Estado,Motivos del estado,Conversiones,Código de moneda,Coste/conv.,Coste,Impr.,Clics,CTR,CPC medio,Cuota impr. perd. de búsq. (ranking),Cuota impr. perdidas de parte sup. abs. de búsqueda (ranking),Tasa de conv.,Coste/todas las conversiones,Nivel de calidad,Duración media de la interacción por sesión (segundos) (GA4),Cuota de impr. de búsqueda,Relevancia del anuncio,Relevancia del anuncio (historial),Experiencia en la página de destino,Experiencia en la página de destino (historial)
2026-08-31,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""video publicitario online""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
