Fecha,Coste
"sáb, 1 ago 2026","147,84 PEN"
"dom, 2 ago 2026","143,41 PEN"
"lun, 3 ago 2026","96,01 PEN"
"mar, 4 ago 2026","149,95 PEN"
"mié, 5 ago 2026","124,61 PEN"
"jue, 6 ago 2026","108,75 PEN"
"vie, 7 ago 2026","97,00 PEN"
"sáb, 8 ago 2026","77,06 PEN"
"dom, 9 ago 2026","72,96 PEN"
"lun, 10 ago 2026","145,01 PEN"
"mar, 11 ago 2026","132,99 PEN"
"mié, 12 ago 2026","127,91 PEN"
"jue, 13 ago 2026","114,71 PEN"
"vie, 14 ago 2026","91,90 PEN"
"sáb, 15 ago 2026","72,85 PEN"
"dom, 16 ago 2026","98,17 PEN"
"lun, 17 ago 2026","98,82 PEN"
"mar, 18 ago 2026","0,00 PEN"
"mié, 19 ago 2026","0,00 PEN"
"jue, 20 ago 2026","0,00 PEN"
"vie, 21 ago 2026","83,65 PEN"
"sáb, 22 ago 2026","174,07 PEN"
"dom, 23 ago 2026","156,85 PEN"
"lun, 24 ago 2026","174,33 PEN"
"mar, 25 ago 2026","167,67 PEN"
"mié, 26 ago 2026","162,45 PEN"
"jue, 27 ago 2026","154,93 PEN"
"vie, 28 ago 2026","142,72 PEN"
"sáb, 29 ago 2026","134,81 PEN"
"dom, 30 ago 2026","141,60 PEN"
"lun, 31 ago 2026","105,55 PEN"
