Fecha,Coste
"lun, 1 jun 2026","175,49 PEN"
"mar, 2 jun 2026","145,46 PEN"
"mié, 3 jun 2026","144,33 PEN"
"jue, 4 jun 2026","163,76 PEN"
"vie, 5 jun 2026","166,49 PEN"
"sáb, 6 jun 2026","92,35 PEN"
"dom, 7 jun 2026","38,02 PEN"
"lun, 8 jun 2026","299,71 PEN"
"mar, 9 jun 2026","223,00 PEN"
"mié, 10 jun 2026","174,95 PEN"
"jue, 11 jun 2026","164,50 PEN"
"vie, 12 jun 2026","171,15 PEN"
"sáb, 13 jun 2026","102,38 PEN"
"dom, 14 jun 2026","104,85 PEN"
"lun, 15 jun 2026","223,31 PEN"
"mar, 16 jun 2026","158,80 PEN"
"mié, 17 jun 2026","177,16 PEN"
"jue, 18 jun 2026","163,62 PEN"
"vie, 19 jun 2026","138,04 PEN"
"sáb, 20 jun 2026","91,15 PEN"
"dom, 21 jun 2026","49,27 PEN"
"lun, 22 jun 2026","231,94 PEN"
"mar, 23 jun 2026","200,19 PEN"
"mié, 24 jun 2026","168,52 PEN"
"jue, 25 jun 2026","154,62 PEN"
"vie, 26 jun 2026","149,23 PEN"
"sáb, 27 jun 2026","12,94 PEN"
"dom, 28 jun 2026","66,97 PEN"
"lun, 29 jun 2026","144,10 PEN"
"mar, 30 jun 2026","156,71 PEN"
"mié, 1 jul 2026","142,37 PEN"
"jue, 2 jul 2026","164,63 PEN"
"vie, 3 jul 2026","145,23 PEN"
"sáb, 4 jul 2026","54,02 PEN"
"dom, 5 jul 2026","62,93 PEN"
"lun, 6 jul 2026","297,56 PEN"
"mar, 7 jul 2026","175,95 PEN"
"mié, 8 jul 2026","169,08 PEN"
"jue, 9 jul 2026","127,52 PEN"
"vie, 10 jul 2026","32,86 PEN"
"sáb, 11 jul 2026","41,47 PEN"
"dom, 12 jul 2026","55,17 PEN"
"lun, 13 jul 2026","303,31 PEN"
"mar, 14 jul 2026","232,53 PEN"
"mié, 15 jul 2026","104,36 PEN"
"jue, 16 jul 2026","118,24 PEN"
"vie, 17 jul 2026","41,99 PEN"
"sáb, 18 jul 2026","61,39 PEN"
"dom, 19 jul 2026","75,54 PEN"
"lun, 20 jul 2026","114,53 PEN"
"mar, 21 jul 2026","101,12 PEN"
"mié, 22 jul 2026","100,41 PEN"
"jue, 23 jul 2026","20,90 PEN"
"vie, 24 jul 2026","70,74 PEN"
"sáb, 25 jul 2026","86,59 PEN"
"dom, 26 jul 2026","91,01 PEN"
"lun, 27 jul 2026","104,26 PEN"
"mar, 28 jul 2026","88,62 PEN"
"mié, 29 jul 2026","84,01 PEN"
"jue, 30 jul 2026","94,35 PEN"
"vie, 31 jul 2026","119,19 PEN"
"sáb, 1 ago 2026","147,84 PEN"
"dom, 2 ago 2026","143,41 PEN"
"lun, 3 ago 2026","96,01 PEN"
"mar, 4 ago 2026","149,95 PEN"
"mié, 5 ago 2026","124,61 PEN"
"jue, 6 ago 2026","108,75 PEN"
"vie, 7 ago 2026","97,00 PEN"
"sáb, 8 ago 2026","77,06 PEN"
"dom, 9 ago 2026","72,96 PEN"
"lun, 10 ago 2026","145,01 PEN"
"mar, 11 ago 2026","132,99 PEN"
"mié, 12 ago 2026","127,91 PEN"
"jue, 13 ago 2026","114,71 PEN"
"vie, 14 ago 2026","91,90 PEN"
"sáb, 15 ago 2026","72,85 PEN"
"dom, 16 ago 2026","98,17 PEN"
"lun, 17 ago 2026","98,82 PEN"
"mar, 18 ago 2026","0,00 PEN"
"mié, 19 ago 2026","0,00 PEN"
"jue, 20 ago 2026","0,00 PEN"
"vie, 21 ago 2026","83,65 PEN"
"sáb, 22 ago 2026","174,07 PEN"
"dom, 23 ago 2026","156,85 PEN"
"lun, 24 ago 2026","174,33 PEN"
"mar, 25 ago 2026","167,67 PEN"
"mié, 26 ago 2026","162,45 PEN"
"jue, 27 ago 2026","154,93 PEN"
"vie, 28 ago 2026","142,72 PEN"
"sáb, 29 ago 2026","134,81 PEN"
"dom, 30 ago 2026","141,60 PEN"
"lun, 31 ago 2026","105,55 PEN"
"mar, 1 sept 2026","168,98 PEN"
"mié, 2 sept 2026","163,96 PEN"
"jue, 3 sept 2026","139,84 PEN"
"vie, 4 sept 2026","122,06 PEN"
"sáb, 5 sept 2026","115,88 PEN"
"dom, 6 sept 2026","118,06 PEN"
"lun, 7 sept 2026","115,94 PEN"
"mar, 8 sept 2026","118,59 PEN"
"mié, 9 sept 2026","7,39 PEN"
"jue, 10 sept 2026","61,96 PEN"
"vie, 11 sept 2026","144,53 PEN"
"sáb, 12 sept 2026","123,86 PEN"
"dom, 13 sept 2026","103,58 PEN"
"lun, 14 sept 2026","86,38 PEN"
"mar, 15 sept 2026","39,97 PEN"
"mié, 16 sept 2026","22,07 PEN"
"jue, 17 sept 2026","6,36 PEN"
"vie, 18 sept 2026","6,83 PEN"
"sáb, 19 sept 2026","2,97 PEN"
"dom, 20 sept 2026","2,28 PEN"
